"V1","V2","V3","V4","V5","V6","V7","V8"
NA,NA,NA,NA,12.4,10.797,NA,101.299999061848
NA,NA,NA,NA,2.9,9.192,NA,115.099991214811
NA,NA,NA,NA,6.4,10.9265,NA,31.9999999366701
NA,NA,NA,NA,4.1,10.22,NA,41.9000040739775
NA,NA,NA,NA,8.3,8.96,NA,76.3999986229464
NA,NA,NA,NA,9.7,9.448,NA,122.00001240999
NA,NA,NA,NA,12.4,7.1995,NA,110.400009714067
NA,NA,NA,NA,8.3,9.2545,NA,28.6000023479573
NA,NA,NA,NA,11,10.123,NA,59.0999954118161
NA,NA,NA,NA,6.6,9.845,NA,60.2000025683083
NA,NA,NA,NA,6.8,9.368,NA,67.3000020906329
NA,NA,NA,NA,6.1,11.341,NA,59.6000011864817
NA,NA,NA,NA,7.8,10.797,NA,58.999999333173
NA,NA,NA,NA,10.6,9.192,NA,103.000001210603
NA,NA,NA,NA,4.4,10.9265,NA,36.799994980538
NA,NA,NA,NA,7.1,10.22,NA,86.5999904461205
NA,NA,NA,NA,9.4,8.96,NA,50.3000015054567
NA,NA,NA,NA,11.4,9.448,NA,59.6000033965538
NA,NA,NA,NA,10.6,7.1995,NA,51.0999965277733
NA,NA,NA,NA,3.5,9.2545,NA,95.099996047793
NA,NA,NA,NA,6.7,10.123,NA,37.4000018433435
NA,NA,NA,NA,5.3,9.845,NA,27.2999977889413
NA,NA,NA,NA,8.2,9.368,NA,54.0999995078892
NA,NA,NA,NA,5,11.341,NA,93.8999935984612
NA,NA,NA,NA,6.9,10.797,NA,114.999997002451
NA,NA,NA,NA,7.6,9.192,NA,105.499994644197
NA,NA,NA,NA,5.2,10.9265,NA,163.699984643608
NA,NA,NA,NA,9.5,10.22,NA,74.4999966700561
NA,NA,NA,NA,6.1,8.96,NA,76.5999982355424
NA,NA,NA,NA,6.4,9.448,NA,55.7000048167538
NA,NA,NA,NA,6.4,7.1995,NA,50.7000016048551
NA,NA,NA,NA,9,9.2545,NA,129.699991783127
NA,NA,NA,NA,5.1,10.123,NA,88.0000027333153
NA,NA,NA,NA,3,9.845,NA,125.600003649015
NA,NA,NA,NA,6,9.368,NA,34.0999974258011
NA,NA,NA,NA,8,11.341,NA,75.00000433065
NA,NA,NA,NA,11.4,10.797,NA,99.2999985697679
NA,NA,NA,NA,8,9.192,NA,109.499999508262
NA,NA,NA,NA,12.2,10.9265,NA,60.2000052203948
NA,NA,NA,NA,9,10.22,NA,88.6999991722405
NA,NA,NA,NA,9,8.96,NA,106.299998948816
NA,NA,NA,NA,7,9.448,NA,78.8999980679364
NA,NA,NA,NA,6.2,7.1995,NA,67.4000017839717
NA,NA,NA,NA,13.7,9.2545,NA,148.599991423544
NA,NA,NA,NA,8.9,10.123,NA,61.6999951394973
NA,NA,NA,NA,12.9,9.845,NA,110.300010020728
NA,NA,NA,NA,2.3,9.368,NA,14.999999714928
NA,NA,NA,NA,7.8,11.341,NA,46.6999967407901
NA,NA,NA,NA,8.6,10.797,NA,67.1999952857732
NA,NA,NA,NA,7.6,9.192,NA,56.7999979466549
NA,NA,NA,NA,7.3,10.9265,NA,107.299994310597
NA,NA,NA,NA,9.8,10.22,NA,44.1999992406636
NA,NA,NA,NA,11.6,8.96,NA,75.0999943586066
NA,NA,NA,NA,6.9,9.448,NA,72.8000069910195
NA,NA,NA,NA,7.1,7.1995,NA,61.6000041685766
NA,NA,NA,NA,12.7,9.2545,NA,115.800005157507
NA,NA,NA,NA,7.9,10.123,NA,129.700000741286
NA,NA,NA,NA,10.6,9.845,NA,61.0999954078579
NA,NA,NA,NA,3,9.368,NA,60.9000027397997
NA,NA,NA,NA,4.1,11.341,NA,73.4999978900305
NA,NA,NA,NA,7,10.797,NA,125.100000546081
NA,NA,NA,NA,6.7,9.192,NA,7.69999932272185
NA,NA,NA,NA,14.5,10.9265,NA,40.9000008787189
NA,NA,NA,NA,6.2,10.22,NA,54.9000006594724
NA,NA,NA,NA,8.4,8.96,NA,57.3000006959774
NA,NA,NA,NA,8.1,9.448,NA,130.899995352229
NA,NA,NA,NA,7.9,7.1995,NA,121.599996663281
NA,NA,NA,NA,11.7,9.2545,NA,1.40000003541445
NA,NA,NA,NA,12.5,10.123,NA,70.4000028781593
NA,NA,NA,NA,6.7,9.845,NA,31.0000002136803
NA,NA,NA,NA,5.4,9.368,NA,52.7000035261153
NA,NA,NA,NA,7.1,11.341,NA,242.899988038698
NA,NA,NA,NA,10.4,10.797,NA,155.199995386647
NA,NA,NA,NA,1.4,9.192,NA,54.800000700925
NA,NA,NA,NA,5,10.9265,NA,74.6999970095203
NA,NA,NA,NA,7.4,10.22,NA,59.6999977366067
NA,NA,NA,NA,8,8.96,NA,144.699990299705
NA,NA,NA,NA,12.3,9.448,NA,44.9999992037192
NA,NA,NA,NA,9.9,7.1995,NA,113.599997072015
NA,NA,NA,NA,1.1,9.2545,NA,82.0000003091991
NA,NA,NA,NA,5.5,10.123,NA,89.7000038065016
NA,NA,NA,NA,4.8,9.845,NA,84.8999958459899
NA,NA,NA,NA,5.7,9.368,NA,146.000003482914
NA,NA,NA,NA,23.1,11.341,NA,131.399985862663
NA,NA,NA,NA,14.1,10.797,NA,75.6999940116657
NA,NA,NA,NA,3.9,9.192,NA,147.59999307571
NA,NA,NA,NA,8.4,10.9265,NA,32.2999994095881
NA,NA,NA,NA,8.2,10.22,NA,91.4999946424359
NA,NA,NA,NA,13.4,8.96,NA,70.500002571498
NA,NA,NA,NA,4.4,9.448,NA,88.4999996284023
NA,NA,NA,NA,12,7.1995,NA,58.4999961713038
NA,NA,NA,NA,8.9,9.2545,NA,87.8000028751558
NA,NA,NA,NA,10,10.123,NA,43.5000014756952
NA,NA,NA,NA,9.9,9.845,NA,85.9000011580065
NA,NA,NA,NA,14.2,9.368,NA,141.800001589581
NA,NA,NA,NA,10.6,11.341,NA,59.7999999445165
NA,NA,NA,NA,6.4,10.797,NA,150.100004189881
NA,NA,NA,NA,9.8,9.192,NA,27.7999963145703
NA,NA,NA,NA,4.2,10.9265,NA,152.59998984402
NA,NA,NA,NA,8.5,10.22,NA,18.2000010503543
NA,NA,NA,NA,8.3,8.96,NA,82.1999981242698
NA,NA,NA,NA,8.1,9.448,NA,80.6999960448593
NA,NA,NA,NA,6.3,7.1995,NA,64.7000041899446
NA,NA,NA,NA,9.8,9.2545,NA,56.5999938058667
NA,NA,NA,NA,5.3,10.123,NA,78.6999984455178
NA,NA,NA,NA,9.5,9.845,NA,97.3000094963936
NA,NA,NA,NA,12.8,9.368,NA,96.8999956356129
NA,NA,NA,NA,4.7,11.341,NA,66.3000066109817
NA,NA,NA,NA,12.3,10.797,NA,63.5999957565218
NA,NA,NA,NA,3.2,9.192,NA,189.999994123355
NA,NA,NA,NA,14.9,10.9265,NA,38.199999940116
NA,NA,NA,NA,3.8,10.22,NA,61.4000001456589
