"","V1","V2","V3","V4","V5","V6"
"1",666.666666666667,666.666666666667,755.555555555556,755.555555555556,666.666666666667,666.666666666667
"2",384.467621752853,384.467621752853,658.416063324731,658.416063324731,382.31012842958,382.31012842958
"3",545.866905110928,545.866905110928,644.083100988115,644.083100988115,412.013098322975,412.013098322975
"4",518.78859930476,518.78859930476,703.087387778365,703.087387778365,489.763039287439,489.763039287439
"5",574.78871285418,574.78871285418,721.779201994883,721.779201994883,531.953534250905,531.953534250905
"6",417.151565225344,417.151565225344,677.656059725405,677.656059725405,521.233630297901,521.233630297901
"7",556.449296805793,556.449296805793,634.296363044794,634.296363044794,518.896656758628,518.896656758628
"8",422.910854102603,422.910854102603,633.173611813622,633.173611813622,542.74731695772,542.74731695772
"9",345.427867138289,345.427867138289,533.635257664881,533.635257664881,486.874007381751,486.874007381751
"10",501.179210735454,501.179210735454,497.337093147747,497.337093147747,483.153598034978,483.153598034978
"11",279.936667918584,279.936667918584,492.840158521401,492.840158521401,495.894205639028,495.894205639028
"12",710.459009718133,710.459009718133,536.406051570862,536.406051570862,535.435950827808,535.435950827808
"13",-174.677011545058,-174.677011545058,525.82032901915,525.82032901915,531.315086552754,531.315086552754
"14",183.410862122311,183.410862122311,549.47743025006,549.47743025006,553.266570455724,553.266570455724
"15",244.366517855501,244.366517855501,521.045246719617,521.045246719617,533.063506087938,533.063506087938
"16",725.418679124592,725.418679124592,587.254215705026,587.254215705026,586.489841838882,586.489841838882
"17",329.877561750762,329.877561750762,769.314566813744,769.314566813744,730.946464027152,730.946464027152
"18",859.700039704851,859.700039704851,820.255710414799,820.255710414799,746.660484364605,746.660484364605
"19",-311.13497852791,-311.13497852791,693.911776351758,693.911776351758,640.833282506135,640.833282506135
"20",326.691727454305,326.691727454305,710.119554180711,710.119554180711,680.285414598064,680.285414598064
"21",315.330718995125,315.330718995125,699.356747469652,699.356747469652,686.735972618801,686.735972618801
"22",903.049533198674,903.049533198674,785.80990155286,785.80990155286,766.538509878322,766.538509878322
"23",-371.787443026119,-371.787443026119,783.583976882147,783.583976882147,748.804883212163,748.804883212163
"24",390.376815177425,390.376815177425,900.057525532019,900.057525532019,851.035430857225,851.035430857225
"25",255.861362394231,255.861362394231,699.069078628106,699.069078628106,683.410326873287,683.410326873287
"26",545.703614836532,545.703614836532,623.71067600959,623.71067600959,654.647185543062,654.647185543062
"27",105.189946461429,105.189946461429,634.015042429998,634.015042429998,674.136612013304,674.136612013304
"28",494.146771907878,494.146771907878,591.539466884118,591.539466884118,639.564032576875,639.564032576875
"29",609.986356921978,609.986356921978,722.585856549208,722.585856549208,754.086704720941,754.086704720941
"30",489.168893275344,489.168893275344,813.675725255685,813.675725255685,805.927551192748,805.927551192748
"31",101.833030745697,101.833030745697,627.902057441757,627.902057441757,637.688026961142,637.688026961142
"32",419.298496724081,419.298496724081,592.609964579823,592.609964579823,630.127845302294,630.127845302294
"33",689.88984391094,689.88984391094,717.80910711862,717.80910711862,739.642588731873,739.642588731873
"34",-178.516910349431,-178.516910349431,668.60977924588,668.60977924588,689.604598357385,689.604598357385
"35",187.442755866903,187.442755866903,663.926119797499,663.926119797499,685.605586602009,685.605586602009
"36",57.0714161483569,57.0714161483569,695.844950837925,695.844950837925,706.05930479178,706.05930479178
"37",308.508395993252,308.508395993252,724.822316496694,724.822316496694,721.595751552945,721.595751552945
"38",602.240979802946,602.240979802946,639.190979470365,639.190979470365,651.031946009549,651.031946009549
"39",130.57781209891,130.57781209891,685.291800942991,685.291800942991,695.984512868752,695.984512868752
"40",640.333167397138,640.333167397138,875.508648208966,875.508648208966,846.308013963008,846.308013963008
"41",-273.14752888596,-273.14752888596,622.543647834786,622.543647834786,619.221757085719,619.221757085719
"42",286.804905330258,286.804905330258,585.034687332764,585.034687332764,616.290899559057,616.290899559057
"43",79.1688656379115,79.1688656379115,614.011888814195,614.011888814195,648.231048391197,648.231048391197
"44",492.832612467931,492.832612467931,780.218181919624,780.218181919624,776.795086529215,776.795086529215
"45",218.059003187849,218.059003187849,710.565771694062,710.565771694062,700.685667285993,700.685667285993
"46",756.116987456624,756.116987456624,710.691876993832,710.691876993832,702.708153277429,702.708153277429
"47",70.8505369457486,70.8505369457486,821.921661809726,821.921661809726,789.892510014675,789.892510014675
"48",344.17598949579,344.17598949579,877.885016215608,877.885016215608,828.219270492739,828.219270492739
"49",634.799032884915,634.799032884915,806.115702531585,806.115702531585,765.077160262938,765.077160262938
"50",-12.2720836437859,-12.2720836437859,754.676661814902,754.676661814902,732.747236987365,732.747236987365
"51",12.8856878259752,12.8856878259752,695.454757153005,695.454757153005,704.285557742668,704.285557742668
"52",4.04576614932637,4.04576614932637,695.429237618054,695.429237618054,715.184675559001,715.184675559001
"53",25.6003707950604,25.6003707950604,872.485928026302,872.485928026302,855.648311746067,855.648311746067
"54",142.638949864455,142.638949864455,783.459384038306,783.459384038306,759.651020430944,759.651020430944
"55",618.831402531778,618.831402531778,638.194645162801,638.194645162801,652.40141193148,652.40141193148
