"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"61",0,0,1528.36385704753,129.348672129896,234.555133634055,183.540710606419,0,0,0
"62",0,0,1528.36385704753,129.348672129896,234.555133634055,181.409122336553,0,0,0
"63",0,0,1528.36385704753,129.348672129896,234.555133634055,176.673156451024,0,0,0
"64",23.8909186255036,31.4389133649052,1508.68312234146,129.348672129896,234.555133634055,194.299783721569,28.2950220284147,0,0
"65",206.664696063782,160.24863269426,1515.81524473563,129.348672129896,234.555133634055,281.676156905892,115.928747396419,0,0
"66",306.16204041932,287.44149362199,1576.81171698145,129.348672129896,234.555133634055,340.658605542801,114.473574834958,0,0
"67",184.651370738824,287.44149362199,1657.78720257724,129.348672129896,234.555133634055,268.756058533776,0,0,0
"68",191.731149599816,287.44149362199,1763.93750279235,129.348672129896,234.555133634055,226.941900464646,0,0,0
"69",238.475680468097,287.44149362199,1930.46087897282,129.348672129896,234.555133634055,201.935672584945,0,0,0
"70",35.5148153600441,137.971916938555,1926.36638937207,129.348672129896,234.555133634055,189.098050778573,0,0,0
"71",0,0,1915.80070972557,129.348672129896,234.555133634055,183.217228842874,0,0,0
"72",0,0,1915.80070972557,129.348672129896,234.555133634055,179.301101036442,0,0,0
"73",0,0,1554.1462645138,128.150949670397,233.503495541383,175.618948937498,0,0,0
"74",0,0,1554.1462645138,128.150949670397,233.503495541383,172.933769770908,0,0,0
"75",0,0,1554.1462645138,128.150949670397,233.503495541383,169.638989247009,0,0,0
"76",29.0516357540468,34.8855362991635,1534.48646467809,128.150949670397,233.503495541383,190.199529776965,31.3969826692472,0,0
"77",218.771221350418,164.104410550147,1550.89838318897,128.150949670397,233.503495541383,277.861301444795,116.296986825885,0,0
"78",333.40373050285,284.779888156437,1641.65345199552,128.150949670397,233.503495541383,328.117844471677,108.607929845661,0,0
"79",260.247729279118,284.779888156437,1798.11603110002,128.150949670397,233.503495541383,263.86643279318,0,0,0
"80",197.327465504664,284.779888156437,1893.81107397323,128.150949670397,233.503495541383,209.275166708975,0,0,0
"81",167.142442768332,284.779888156437,1988.95936259344,128.150949670397,233.503495541383,183.534275050143,0,0,0
"82",55.7612056880209,205.041519472634,2003.95561682535,128.150949670397,233.503495541383,171.866482126586,0,0,0
"83",0,0,1987.55754564152,128.150949670397,233.503495541383,166.247509851076,0,0,0
"84",0,0,1987.55754564152,128.150949670397,233.503495541383,163.730910388852,0,0,0
"85",0,0,1618.68604874115,124.635204269401,244.236292630974,161.510581885674,0,0,0
"86",0,0,1618.68604874115,124.635204269401,244.236292630974,159.804837624293,0,0,0
"87",0,0,1618.68604874115,124.635204269401,244.236292630974,155.077395990988,0,0,0
"88",4.2786380965565,10.5593714728243,1608.58774363421,124.635204269401,244.236292630974,157.909410598023,9.50343432554184,0,0
"89",136.098395790184,111.825474941713,1592.90538384056,124.635204269401,244.236292630974,230.653880569791,91.1394931219996,0,0
"90",288.362342504706,276.967120598669,1586.15590799108,124.635204269401,244.236292630974,323.707711102477,148.627481091261,0,0
"91",199.391931614069,276.967120598669,1683.93929509433,124.635204269401,244.236292630974,258.062027378763,0,0,0
"92",148.101302483132,276.967120598669,1746.73126608276,124.635204269401,244.236292630974,215.641565316969,0,0,0
"93",231.288271727699,276.967120598669,1903.39325689837,124.635204269401,244.236292630974,189.381523037848,0,0,0
"94",0,0,1871.94576585371,124.635204269401,244.236292630974,179.815720622526,0,0,0
"95",0,0,1871.94576585371,124.635204269401,244.236292630974,173.447224071014,0,0,0
"96",0,0,1871.94576585371,124.635204269401,244.236292630974,169.451182601516,0,0,0
"97",0,0,1535.65163011592,117.200832416007,219.093303321788,166.741054926083,0,0,0
"98",0,0,1535.65163011592,117.200832416007,219.093303321788,164.535734295253,0,0,0
"99",0,0,1535.65163011592,117.200832416007,219.093303321788,159.859193708293,0,0,0
"100",16.3492294773149,23.1146086153792,1519.95588689954,117.200832416007,219.093303321788,171.938491572101,20.8031477538412,0,0
"101",216.204200840946,152.52386107472,1532.4482814766,117.200832416007,219.093303321788,258.177782827801,116.468327213407,0,0
"102",212.384964172893,260.446294257793,1525.07406718702,117.200832416007,219.093303321788,297.483284751054,97.1301898647659,0,0
"103",154.943325337119,260.446294257793,1580.78351376836,117.200832416007,219.093303321788,231.143558497353,0,0,0
"104",251.384494071098,260.446294257793,1746.66504505704,117.200832416007,219.093303321788,194.637805948489,0,0,0
"105",164.792312134908,260.446294257793,1840.17495459668,117.200832416007,219.093303321788,168.703379425903,0,0,0
"106",57.3770963452806,203.148109521079,1856.45042349428,117.200832416007,219.093303321788,156.909592148399,0,0,0
"107",0,0,1839.64976806738,117.200832416007,219.093303321788,151.702088146206,0,0,0
"108",0,0,1839.64976806738,117.200832416007,219.093303321788,148.88318030204,0,0,0
"109",0,0,1511.0223300758,111.208318875837,217.41911911574,146.453905340685,0,0,0
"110",0,0,1511.0223300758,111.208318875837,217.41911911574,143.635583519225,0,0,0
"111",0,0,1511.0223300758,111.208318875837,217.41911911574,140.259520337878,0,0,0
"112",20.2389251730668,25.639695740818,1495.16316950076,111.208318875837,217.41911911574,154.960375417063,23.0757261667362,0,0
"113",171.928927384431,129.434126691599,1504.60042453226,111.208318875837,217.41911911574,227.167499769514,93.4149878557032,0,0
"114",271.165334562894,247.12959750186,1542.12459103536,111.208318875837,217.41911911574,278.064778320175,105.925923729235,0,0
