"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",300,755.555555555556,238.908573056885,-270.390655823997,1135.93123734972,888.861685488386,105.556715580605,296.287228496129,141.438403113237,0,20256.1765525016,148.29317280721,107.508857875598,26.8772144688996,291.493918281542
"2",234.570479068011,658.416063324731,220.56440237139,-203.99979519305,1051.33236264404,869.512186333956,125.062251587708,289.837395444652,129.230376873415,0,20410.5001833677,214.012996834907,99.2539810671255,24.8134952667814,313.729271432094
"3",277.916114639352,644.083100988115,218.493460121739,-3.66971619032457,1313.93621025896,949.167973500793,137.113631143793,316.389324500264,158.130251675571,0,20546.6040536016,243.042203083323,98.3220570547824,24.5805142636956,309.154336793444
"4",304.696958097317,703.087387778365,247.473765382013,5.24356488870018,1355.73582060591,974.401922693092,135.459986991926,324.800640897697,181.790326513869,0,20737.3830000544,274.748878370596,111.363194421906,27.8407986054765,276.52251358349
"5",301.022193315392,721.779201994883,260.857108106093,-101.174562837295,1208.00992845238,914.835680629297,132.601506816022,304.945226876432,188.592478540303,0,20942.2925694135,297.23675942812,117.385698647742,29.3464246619354,279.061024275323
"6",294.670015146716,677.656059725405,267.382708054408,-136.9591606724,1174.17129064282,856.300090110473,131.75553049765,285.433363370158,183.070500267259,0,21098.7571752541,312.523206874484,120.322218624483,30.0805546561209,299.077319838685
"7",292.790067772556,634.296363044794,275.242718714097,-94.9605254707357,1251.76777218059,854.78437594839,129.28148806958,284.92812531613,167.898308564536,0,21208.6848229083,324.352678988339,123.859223421344,30.964805855336,316.60668634544
"8",287.292195710178,633.173611813622,248.317247800266,-235.974099059471,995.859324170153,720.407597847589,121.147825364892,240.135865949196,175.040071305927,0,21315.1564421928,313.169247185331,111.74276151012,27.9356903775299,292.45148187493
"9",269.21738969976,533.635257664881,260.225415007656,-185.61909127419,1064.8741850281,671.405075749459,115.108701439526,223.801691916486,153.857489340459,0,21320.7546552106,314.006899556376,117.101436753445,29.2753591883613,291.496827471842
"10",255.797114310057,497.337093147747,226.054143634953,-116.796704185132,1045.82623596818,665.334214003891,116.104884237349,221.77807133463,155.19507178912,0,21290.5339194821,292.299283241662,101.724364635729,25.4310911589322,280.200089538173
