"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1778",0,0,887.61732754111,126.538233988828,295.872442513703,157.533664156985,0,0,0
"1779",0,0,887.61732754111,126.538233988828,295.872442513703,153.122802552661,0,0,0
"1780",22.4504224881229,33.3920339692741,862.382587293983,126.538233988828,295.872442513703,173.448917324857,1.5715295741686,8.78371313712557,3.75660382154333
"1781",160.708717158135,150.96714305056,839.549353767216,126.538233988828,295.872442513703,255.53989968881,11.2496102010695,30.9279162565105,13.2271997716447
"1782",317.718431594043,281.196075530729,909.903206267218,126.538233988828,295.872442513703,322.328963711968,22.240290211583,34.2564812347897,14.650754904019
"1783",253.260941819294,281.196075530729,1063.1021045992,126.538233988828,295.872442513703,251.871898523982,17.7282659273506,0,0
"1784",183.740108553255,281.196075530729,1157.66501400511,126.538233988828,295.872442513703,200.794020480593,12.8618075987278,0,0
"1785",101.183800208703,281.196075530729,1198.27677183,126.538233988828,295.872442513703,176.096311678288,7.08286601460921,0,0
"1786",47.9040627134276,202.461174382125,1210.32248515483,126.538233988828,295.872442513703,164.9013711218,3.35328438993993,0,0
"1787",12.145316023229,0,1201.8860901086,126.538233988828,295.872442513703,156.446198372135,0.850172121626029,0,0
"1788",0,0,1201.8860901086,126.538233988828,295.872442513703,153.068673888372,0,0,0
"1789",0,0,806.638494463089,126.36809749115,268.879498154363,149.813266130555,0,0,0
"1790",0,0,806.638494463089,126.36809749115,268.879498154363,146.767292810236,0,0,0
"1791",0,0,806.638494463089,126.36809749115,268.879498154363,142.447190176702,0,0,0
"1792",42.4828567828432,51.2492839825219,776.090521912364,126.36809749115,268.879498154363,177.281647605084,2.97379997479902,12.2676271032928,5.76554444803371
"1793",219.915753047157,184.988853827322,782.014215563687,126.36809749115,268.879498154363,268.119230956573,15.394102713301,32.0134652490038,15.04570160754
"1794",221.737385449642,280.817994424778,793.381616998795,126.36809749115,268.879498154363,287.360968583588,15.5216169814749,22.9387821862941,10.7807783172137
"1795",129.466261008236,280.817994424778,827.50245814667,126.36809749115,268.879498154363,219.315915908325,9.06263827057652,0,0
"1796",122.387243619243,280.817994424778,864.303347383599,126.36809749115,268.879498154363,174.393177129633,8.56710705334699,0,0
"1797",210.225724082613,280.817994424778,1012.25978168233,126.36809749115,268.879498154363,155.745095891066,14.7158006857829,0,0
"1798",112.160146604655,269.585274647786,1076.89825559236,126.36809749115,268.879498154363,142.578914324481,7.85121026232588,0,0
"1799",0,0,1057.56748707594,126.36809749115,268.879498154363,137.870616246095,0,0,0
"1800",0,0,1057.56748707594,126.36809749115,268.879498154363,134.725828019544,0,0,0
"1801",0,0,708.908155908706,112.356612531,236.302718636235,131.81722565358,0,0,0
"1802",0,0,708.908155908706,112.356612531,236.302718636235,130.01170829074,0,0,0
"1803",0,0,708.908155908706,112.356612531,236.302718636235,127.218878399894,0,0,0
"1804",12.3765481940124,21.2229157002999,691.821920237689,112.356612531,236.302718636235,139.182995297223,0.866358373580868,5.02143277102,2.38757801628374
"1805",161.724477792857,134.515833335725,679.35476993561,112.356612531,236.302718636235,218.616885893963,11.3207134455,26.8055896452979,12.7454532339853
"1806",266.552576554057,249.681361179999,725.173942008948,112.356612531,236.302718636235,271.368670258094,18.658680358784,27.2486572427409,12.9561218824809
"1807",156.699746822111,249.681361179999,804.751874049395,112.356612531,236.302718636235,218.75851469649,10.9689822775478,0,0
"1808",172.089522460777,249.681361179999,904.541714581588,112.356612531,236.302718636235,180.575173803787,12.0462665722544,0,0
"1809",195.01309450177,249.681361179999,1046.15629618459,112.356612531,236.302718636235,162.661254312967,13.6509166151239,0,0
"1810",81.2501586269574,249.681361179999,1089.56045185436,112.356612531,236.302718636235,150.404211278487,5.68751110388702,0,0
"1811",0,0,1067.75947502636,112.356612531,236.302718636235,143.699856507728,0,0,0
"1812",0,0,1067.75947502636,112.356612531,236.302718636235,140.643701281521,0,0,0
"1813",0,0,716.59003643368,112.306093114791,238.863345477893,137.909988658739,0,0,0
"1814",0,0,716.59003643368,112.306093114791,238.863345477893,135.091975492525,0,0,0
"1815",0,0,716.59003643368,112.306093114791,238.863345477893,131.233057945939,0,0,0
"1816",28.9424846014901,37.5913450564785,692.301886512676,112.306093114791,238.863345477893,155.71156994862,2.02597392210431,8.99469785315192,4.22902631885384
"1817",198.259235644581,156.916568990944,700.684525706318,112.306093114791,238.863345477893,236.872238620804,13.8781464951207,28.5516342641544,13.4240876926273
"1818",298.68437182527,249.569095810646,808.81850923325,112.306093114791,238.863345477893,274.720812758331,20.9079060277689,22.169504252167,10.4234092672165
"1819",297.699502995678,249.569095810646,1017.07084350866,112.306093114791,238.863345477893,218.730078070584,20.8389652096975,0,0
"1820",268.714992518203,249.569095810646,1207.46243864648,112.306093114791,238.863345477893,181.494328163146,18.8100494762742,0,0
"1821",212.982357285315,249.569095810646,1359.66773449801,112.306093114791,238.863345477893,159.721663404745,14.9087650099721,0,0
